source_id,variant_text,transform_type
tweet_1026,urgent: st. jude hospital emergency wing overwhelmed after m6.4 earthquake! critically low on o-negative blood units and,2
tweet_1033,medical dispatch ambulances unable to reach downtown due to rubble need volunteer emts with portable trauma backpacks on foot,0
tweet_1034,urgent: st. jude hospital emergency wing overwhelmed after m6.4 earthquake! critically low on o-negative blood units and,2
tweet_1036,"field hospital established at south high school football stadium. immediate need for volunteer triage physicians, pediatric medicine,",2
tweet_1037,mass casualty triage center active at city pavilion. treating 45 patients with fractures and lacerations. sterile saline and,2
tweet_1038,city hospital pharmacy collapsed insulin asthma inhalers and cardiac medications needed immediately for sheltered chronic patients disastermed,0
tweet_1039,blood bank appeal: donors needed tomorrow 7 am at blood care mobile units. current hospital reserve is under 2,2
tweet_1042,Update: urgent: st. jude hospital emergency wing overwhelmed after m6.4 earthquake! critically low on o-negative blood units and trauma surgery kits! Please verify.,1
tweet_1043,paramedics urgently requesting portable xoygen concentrators and burn dressing ktis at central community clinic. multiple crush injuries incoming.,3
tweet_1044,"Update: field hospital established at south high school football stadium. immediate need for volunteer triage physicians, pediatric medicine, and sterile bandages. Please verify.",1
tweet_1045,mass casualty triage center active at ciyt pavilion. treating 45 patients with farctures and lacerations. sterile saline and iv kits urgently needed!,3
tweet_1076,"over 1,200 coastal evacuees currently registered at memorial convention center shelter. hot meals, cots, and dry hygiene",2
tweet_1077,displaced families arriving at westside church gymnasium shelter cots are full second intake shelter opening at east high school tonight,0
tweet_1078,missing person alert 74yearold grandmother last seen wearing blue raincoat during evacuation from bayfront avenue contact dispatch with info,0
tweet_1080,red cross family reunification desk set up at central arena please check in online or visit desk if looking for separated relatives familyfind,0
tweet_1081,community liaison: 85 foreign tourists srtanded at harbor hotel without transport. shuttle buses dispatched to transport to airport evacuation hub.,3
tweet_1083,"Update: over 1,200 coastal evacuees currently registered at memorial convention center shelter. hot meals, cots, and dry hygiene kits being distributed. Please verify.",1
tweet_1084,displaced families arriving at westside church gymnasium shelter cots are full second intake shelter opening at east high school tonight,0
