tweet_id,text,source_file,categories,priority,cluster_id,clean_text
tweet_1026,RT @emergency_intel: URGENT: St. Jude Hospital emergency wing overwhelmed after M6.4 earthquake! Critically low on O-negative blood units and trauma surgery kits!,event_central_earthquake.json.gz,['MedicalNeeds'],Critical,EVENT_EARTHQUAKE_CENTRAL,urgent: st. jude hospital emergency wing overwhelmed after m6.4 earthquake! critically low on o-negative blood units and trauma surgery kits!
tweet_1027,Paramedics urgently requesting portable oxygen concentrators and burn dressing kits at Central Community Clinic. Multiple crush injuries incoming.,event_central_earthquake.json.gz,['MedicalNeeds'],Critical,EVENT_EARTHQUAKE_CENTRAL,paramedics urgently requesting portable oxygen concentrators and burn dressing kits at central community clinic. multiple crush injuries incoming.
tweet_1028,"Field hospital established at South High School football stadium. Immediate need for volunteer triage physicians, pediatric medicine, and sterile bandages.",event_central_earthquake.json.gz,['MedicalNeeds'],Critical,EVENT_EARTHQUAKE_CENTRAL,"field hospital established at south high school football stadium. immediate need for volunteer triage physicians, pediatric medicine, and sterile bandages."
tweet_1029,Mass casualty triage center active at City Pavilion. Treating 45 patients with fractures and lacerations. Sterile saline and IV kits urgently needed!,event_central_earthquake.json.gz,['MedicalNeeds'],Critical,EVENT_EARTHQUAKE_CENTRAL,mass casualty triage center active at city pavilion. treating 45 patients with fractures and lacerations. sterile saline and iv kits urgently needed!
tweet_1030,"RT @emergency_intel: City Hospital pharmacy collapsed. Insulin, asthma inhalers, and cardiac medications needed immediately for sheltered chronic patients. #DisasterMed",event_central_earthquake.json.gz,['MedicalNeeds'],Critical,EVENT_EARTHQUAKE_CENTRAL,"city hospital pharmacy collapsed. insulin, asthma inhalers, and cardiac medications needed immediately for sheltered chronic patients. disastermed"
tweet_1031,Blood bank appeal: Donors needed tomorrow 7 AM at Blood Care Mobile units. Current hospital reserve is under 2 hours for trauma cases. https://t.co/disaster0031,event_central_earthquake.json.gz,['MedicalNeeds'],Critical,EVENT_EARTHQUAKE_CENTRAL,blood bank appeal: donors needed tomorrow 7 am at blood care mobile units. current hospital reserve is under 2 hours for trauma cases.
tweet_1032,Emergency dialysis equipment urgently requested at North Pavilion. Power generator fuel low. 14 critical kidney patients awaiting treatment.,event_central_earthquake.json.gz,['MedicalNeeds'],Critical,EVENT_EARTHQUAKE_CENTRAL,emergency dialysis equipment urgently requested at north pavilion. power generator fuel low. 14 critical kidney patients awaiting treatment.
tweet_1033,Medical dispatch: Ambulances unable to reach downtown due to rubble. Need volunteer EMTs with portable trauma backpacks on foot.,event_central_earthquake.json.gz,['MedicalNeeds'],Critical,EVENT_EARTHQUAKE_CENTRAL,medical dispatch: ambulances unable to reach downtown due to rubble. need volunteer emts with portable trauma backpacks on foot.
tweet_1034,RT @emergency_intel: URGENT: St. Jude Hospital emergency wing overwhelmed after M6.4 earthquake! Critically low on O-negative blood units and trauma surgery kits!,event_central_earthquake.json.gz,['MedicalNeeds'],Critical,EVENT_EARTHQUAKE_CENTRAL,urgent: st. jude hospital emergency wing overwhelmed after m6.4 earthquake! critically low on o-negative blood units and trauma surgery kits!
tweet_1035,Paramedics urgently requesting portable oxygen concentrators and burn dressing kits at Central Community Clinic. Multiple crush injuries incoming.,event_central_earthquake.json.gz,['MedicalNeeds'],Critical,EVENT_EARTHQUAKE_CENTRAL,paramedics urgently requesting portable oxygen concentrators and burn dressing kits at central community clinic. multiple crush injuries incoming.
tweet_1036,"Field hospital established at South High School football stadium. Immediate need for volunteer triage physicians, pediatric medicine, and sterile bandages. https://t.co/disaster0036",event_central_earthquake.json.gz,['MedicalNeeds'],Critical,EVENT_EARTHQUAKE_CENTRAL,"field hospital established at south high school football stadium. immediate need for volunteer triage physicians, pediatric medicine, and sterile bandages."
tweet_1037,Mass casualty triage center active at City Pavilion. Treating 45 patients with fractures and lacerations. Sterile saline and IV kits urgently needed!,event_central_earthquake.json.gz,['MedicalNeeds'],Critical,EVENT_EARTHQUAKE_CENTRAL,mass casualty triage center active at city pavilion. treating 45 patients with fractures and lacerations. sterile saline and iv kits urgently needed!
tweet_1038,"RT @emergency_intel: City Hospital pharmacy collapsed. Insulin, asthma inhalers, and cardiac medications needed immediately for sheltered chronic patients. #DisasterMed",event_central_earthquake.json.gz,['MedicalNeeds'],Critical,EVENT_EARTHQUAKE_CENTRAL,"city hospital pharmacy collapsed. insulin, asthma inhalers, and cardiac medications needed immediately for sheltered chronic patients. disastermed"
tweet_1039,Blood bank appeal: Donors needed tomorrow 7 AM at Blood Care Mobile units. Current hospital reserve is under 2 hours for trauma cases.,event_central_earthquake.json.gz,['MedicalNeeds'],Critical,EVENT_EARTHQUAKE_CENTRAL,blood bank appeal: donors needed tomorrow 7 am at blood care mobile units. current hospital reserve is under 2 hours for trauma cases.
tweet_1040,Emergency dialysis equipment urgently requested at North Pavilion. Power generator fuel low. 14 critical kidney patients awaiting treatment.,event_central_earthquake.json.gz,['MedicalNeeds'],Critical,EVENT_EARTHQUAKE_CENTRAL,emergency dialysis equipment urgently requested at north pavilion. power generator fuel low. 14 critical kidney patients awaiting treatment.
tweet_1041,Medical dispatch: Ambulances unable to reach downtown due to rubble. Need volunteer EMTs with portable trauma backpacks on foot. https://t.co/disaster0041,event_central_earthquake.json.gz,['MedicalNeeds'],Critical,EVENT_EARTHQUAKE_CENTRAL,medical dispatch: ambulances unable to reach downtown due to rubble. need volunteer emts with portable trauma backpacks on foot.
tweet_1042,RT @emergency_intel: URGENT: St. Jude Hospital emergency wing overwhelmed after M6.4 earthquake! Critically low on O-negative blood units and trauma surgery kits!,event_central_earthquake.json.gz,['MedicalNeeds'],Critical,EVENT_EARTHQUAKE_CENTRAL,urgent: st. jude hospital emergency wing overwhelmed after m6.4 earthquake! critically low on o-negative blood units and trauma surgery kits!
tweet_1043,Paramedics urgently requesting portable oxygen concentrators and burn dressing kits at Central Community Clinic. Multiple crush injuries incoming.,event_central_earthquake.json.gz,['MedicalNeeds'],Critical,EVENT_EARTHQUAKE_CENTRAL,paramedics urgently requesting portable oxygen concentrators and burn dressing kits at central community clinic. multiple crush injuries incoming.
tweet_1044,"Field hospital established at South High School football stadium. Immediate need for volunteer triage physicians, pediatric medicine, and sterile bandages.",event_central_earthquake.json.gz,['MedicalNeeds'],Critical,EVENT_EARTHQUAKE_CENTRAL,"field hospital established at south high school football stadium. immediate need for volunteer triage physicians, pediatric medicine, and sterile bandages."
tweet_1045,Mass casualty triage center active at City Pavilion. Treating 45 patients with fractures and lacerations. Sterile saline and IV kits urgently needed!,event_central_earthquake.json.gz,['MedicalNeeds'],Critical,EVENT_EARTHQUAKE_CENTRAL,mass casualty triage center active at city pavilion. treating 45 patients with fractures and lacerations. sterile saline and iv kits urgently needed!
tweet_1046,"RT @emergency_intel: City Hospital pharmacy collapsed. Insulin, asthma inhalers, and cardiac medications needed immediately for sheltered chronic patients. #DisasterMed",event_central_earthquake.json.gz,['MedicalNeeds'],Critical,EVENT_EARTHQUAKE_CENTRAL,"city hospital pharmacy collapsed. insulin, asthma inhalers, and cardiac medications needed immediately for sheltered chronic patients. disastermed"
tweet_1047,Blood bank appeal: Donors needed tomorrow 7 AM at Blood Care Mobile units. Current hospital reserve is under 2 hours for trauma cases.,event_central_earthquake.json.gz,['MedicalNeeds'],Critical,EVENT_EARTHQUAKE_CENTRAL,blood bank appeal: donors needed tomorrow 7 am at blood care mobile units. current hospital reserve is under 2 hours for trauma cases.
